,id,display name,description,verified,potentially_banned,#followers,#posts,#friends,#favourites,location
EliotHiggins,288755234,Eliot Higgins,Founder and creative director of Bellingcat and director of Bellingcat Productions BV. Author of We Are Bellingcat.,True,False,259651,280332,3344,15546,In front of a laptop.
nickreeves9876,746371177174679552,Nick Reeves #StandWithUkraine #FBPA #FBPE #PATH,The Tories are dismantling democracy. The next election may be the last which the opposition has a chance of winning. That's why we need a Progressive Alliance.,False,False,69568,178723,38451,487051,"South East, England"
dgaytandzhieva,1678273014,Dilyana Gaytandzhieva,"investigative journalist, Middle East correspondent",False,False,58603,1456,511,7809,
the__dude98,2916913141,The Dude🌻,,False,False,1120,63434,2945,172705,
mbrg982,1470236177370423297,Нунт - Z,🇷🇺,False,False,3,418,122,1986,
daphlawless,33349753,"Dr. King In Yellow, Queen In Red","""Acerbic left-wing theorist"" (C. Trotter).  She/her/PhD. Indexer, translator, writer for @FbAustralasia, keyboardist for @vostoklake, sorceress at @chaosmarxism",False,False,1233,52569,538,77673,"Auckland, Aotearoa"
mcwlod,833742081088692225,Maciek,,False,False,35,882,812,15041,
Khaymansete,865971140,Khayman 🏁🎶,"Motor, ópera, videojuegos y pamplinas. No necesariamente en ese orden.",False,False,221,17014,328,8894,"Lubyanka, Moscú"
Andrew__Roth,249060131,Andrew Roth,"Moscow correspondent for @guardian. Снова там, где вам не тут. Write me at Andrew.Roth@theguardian.com.",True,False,96377,346,3893,42502,"Moscow, Russia"
SjoerdNolf,17660893,Sjoerd Nolf,,False,False,120,19325,441,27773,"Rotterdam, Netherlands"
glaser_holly,3630867678,Holly Glaser,"GIS analyst & enthusiast, watcher of birds & fascinated by how life works out & working wood,reader of history,accepter of valid proofs using reason,logic,facts",False,False,832,87924,1113,31136,"Mercer Island, WA"
ForensicArchi,1179708733,Forensic Architecture,Forensic Architecture is an independent university-based research agency undertaking media and spatial research into state and corporate violence.,True,False,59264,4191,790,4725,"London, UK"
TFL1728,48351615,Tom Luongo (Powell's a Baller),#Gold #Goats & #Geopolitics. It's time to get serious about collapsing institutions. And Scammers stop it! Your moms are ashamed of you!,False,False,21283,38975,1634,14960,United States
enthual,1228046479878742017,Pol Enthual 🇮🇱,Internet surfer,False,False,11,1443,135,3434,
sarahussein,108668795,Sara Hussein,Deputy bureau chief @AFP Tokyo. Part-time science/environment reporter. Recovering Middle East correspondent. correspondent.afp.com/starting-again…,True,False,33129,32823,3017,6879,
Knight22122,215379589,MR HAMEED,"Economist
Opportunist 
Outsider
Introvert
Culer
Crypto enthusiast",False,False,450,1990,1467,264,
