,id,display name,description,verified,potentially_banned,#followers,#posts,#friends,#favourites,location
EliotHiggins,288755234,Eliot Higgins,Founder and creative director of Bellingcat and director of Bellingcat Productions BV. Author of We Are Bellingcat.,True,False,259695,280383,3345,15547,In front of a laptop.
stokaryk,47558563,Scott Tokaryk,"I follow Eastern Europe, particularly Ukraine, closely. Not an expert, but I pay attention to those who are. Canadian Europhile.",False,False,264,4343,1984,17485,
letters2navalny,1358550847924416512,Письма Навальному,"НЕЦЕНЗУРНАЯ РЕДАКЦИЯ — наши письма политзаключённому #1, которые вряд ли прошли бы цензуру, но однажды точно дойдут до адресата. letterstonavalny.com",False,False,1477,9823,1483,32295,"Привет, Навальный!"
strudders2112,129522784,Alive in 2022,"MS suffering, Severely sight impaired PC Gamer GenX Twitter user who is Severally pissed off but fully Vaccinated and boostered with added Heart disease FML",False,False,225,11185,563,9895,The f*cking moon.
Tinkr17,1523459552481771520,Tinkr,Tinks,False,False,2,72,41,178,
YarnoRitzen,18511499,Yarno Ritzen,🕵️ @ajiunit * yarnoritzen@proton.me * Threema: A4JRD8A5 * Wickr: yritzen * Wire: @yritzen DMs open * Views mine,True,False,3446,1223,2755,3090,QA via NL
Knight22122,215379589,MR HAMEED,"Economist
Opportunist 
Outsider
Introvert
Culer
Crypto enthusiast",False,False,451,1996,1467,265,
GMichaelPetty,16211953,George Michael Petty,,False,False,169,12146,963,4163,BC via QC 
RobL_L,1253432653203648515,Rob,"Well used man, free to a good home. Used to play with drugs now play with wood
#NAFO #UKRAINE",False,False,248,39044,1612,41387,"South West, England"
TitusMichaeleus,799723248338554880,Titus Michaeleus,,False,False,3162,26055,580,29707,
christogrozev,144611647,Christo Grozev,"'Гроза всего тайного' / The terror for all things secret (c) Maria Zakharova, spokesperson for the Russian Federation.",True,False,487467,49727,1141,26520,Klingon
dgaytandzhieva,1678273014,Dilyana Gaytandzhieva,"investigative journalist, Middle East correspondent",False,False,58602,1458,512,7824,
JillFuhaid,4575577282,Mugwumps,,False,False,639,103206,1108,193589,
chris97981060,1365257339792732162,chris,Bio bio bio bio biiiioooooooooo,False,False,71,2321,489,13866,
LouGret83,1495642978680979460,Louis Gretchen,Slava Ukraine.,False,False,12,1019,74,271,
enthual,1228046479878742017,Pol Enthual 🇮🇱,Internet surfer,False,False,11,1443,135,3435,
tempehlover,1316795157782630400,...,"veganism over cruelty -facts over disinformation - compassion over everything - no borders, no nations - just people. A non tragic mulatto.",False,False,2593,761,3404,127940,"Montreal, QC"
glaser_holly,3630867678,Holly Glaser,"GIS analyst & enthusiast, watcher of birds & fascinated by how life works out & working wood,reader of history,accepter of valid proofs using reason,logic,facts",False,False,834,87966,1115,31144,"Mercer Island, WA"
Chattwjonathan,3327626987,Jonathan Hunter,"#Chattahooligan
Meteorologist in Trucking Industry
Valpo '07
Break the Oligarchy
Wx Retweet = Endorsement
Way too happy and cheery",False,False,752,17081,1012,55825,"Chattanooga, TN"
bellingcat,2315512764,Bellingcat,"Want to support our charity? bellingcat.com/donate/

Buy our book ""We Are Bellingcat"" here: bit.ly/2EP09EN

Our award-winning podcast series: apple.co/36LJURI",True,False,716548,25708,59,1471,
imhelenj,36912107,Helen K Jeffrey,"Creative, digitally curious- tweeting for myself; crossing the streams. Former Associate Publisher @LRB Supporting @goodchancecal @ascendingmag & @poetryunheard",False,False,1401,15511,1826,23059,London-ish
the__dude98,2916913141,The Dude🌻,,False,False,1122,63456,2947,172723,
daphlawless,33349753,"Dr. King In Yellow, Queen In Red","""Acerbic left-wing theorist"" (C. Trotter).  She/her/PhD. Indexer, translator, writer for @FbAustralasia, keyboardist for @vostoklake, sorceress at @chaosmarxism",False,False,1232,52592,538,77716,"Auckland, Aotearoa"
CaptObnoxious,45966086,Captain Obnoxious,"Enjoy dialogue w/ those across the political spectrum interested in mutually acceptable solutions to today's challenges. (Yeah, that's like 3 people) ΜΟΛΩΝ ΛΑΒΕ",False,False,398,31262,1808,2989,= Schrödinger's Cat's Box =
SjoerdNolf,17660893,Sjoerd Nolf,,False,False,120,19350,441,27826,"Rotterdam, Netherlands"
alcebaid,2605764724,Peter Johnson,"I am from Ukraine. #противсіх2010 Tweets in #de #en #pl #ru #uk.
#ЮщенкоТак youtube.com/watch?v=__wwuy…",False,False,1250,125609,317,1048038,Ukraine
vanmaanen,6596452,van Maanen,"Twitterkoning in ruste | Growth hacker | #SoMe | Digital marketing maverick | Internet Marketing | Creatief | Vader | Optimist | TV, movies | mountainbiking",False,False,3636,181408,2310,4002,Deventer Leiden Enschede
balajiworld,15765870,Balaji,Classical Liberal. Curator at indianliberals.org,False,False,545,20053,212,9417,Bengaluru
